Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
NS.1223.004.NEBNext_dual_i7_F8---NEBNext_dual_i5_F8.11_09_ACC	25807746.0	200.0	24134517.0	93.52	199.85	14560589.0	14441754.0	14419554.0	120244.0	14020.0	6771.0	0.15	0.01	1.48	0.0	1.21	1396987.0	5.41	53328.0	0.21	0.0	0.76	0.1	0	196994	25920
NS.1223.004.NEBNext_dual_i7_F9---NEBNext_dual_i5_F9.03_15_vHIP	68642310.0	200.0	64747553.0	94.33	199.86	40068971.0	39749606.0	39682417.0	325471.0	41382.0	19701.0	0.15	0.01	1.49	0.0	1.21	3244565.0	4.73	121118.0	0.18	0.0	0.68	0.09	0	467234	61840
NS.1223.004.NEBNext_dual_i7_G1---NEBNext_dual_i5_G1.27_32_vHIP	29074486.0	200.0	27396173.0	94.23	199.79	17413416.0	17279392.0	17243108.0	144144.0	18173.0	7991.0	0.15	0.01	1.47	0.0	1.2	1393153.0	4.79	53668.0	0.18	0.0	0.71	0.08	0	208050	23442
NS.1223.004.NEBNext_dual_i7_G2---NEBNext_dual_i5_G2.08_09_dHIP	23961005.0	200.0	22595399.0	94.3	199.68	13972971.0	13861981.0	13839888.0	111820.0	14368.0	6895.0	0.15	0.01	1.48	0.0	1.2	1119741.0	4.67	44628.0	0.19	0.0	0.73	0.11	0	174885	26352
NS.1223.004.NEBNext_dual_i7_G3---NEBNext_dual_i5_G3.10_35_ACC	26987449.0	200.0	25325872.0	93.84	199.63	15110256.0	14989627.0	14966918.0	121640.0	14855.0	6843.0	0.16	0.01	1.48	0.0	1.24	1369518.0	5.07	53326.0	0.2	0.0	0.78	0.1	0	211604	27129
NS.1223.004.NEBNext_dual_i7_G4---NEBNext_dual_i5_G4.04_09_vHIP	31908802.0	200.0	30059806.0	94.21	199.92	18957557.0	18811721.0	18772719.0	156117.0	19492.0	9229.0	0.15	0.01	1.48	0.0	1.21	1542461.0	4.83	60033.0	0.19	0.0	0.68	0.09	0	217690	28812
NS.1223.004.NEBNext_dual_i7_G5---NEBNext_dual_i5_G5.13_09_dHIP	38476428.0	200.0	36375472.0	94.54	199.88	22154490.0	21974209.0	21940274.0	180828.0	22870.0	10518.0	0.15	0.01	1.48	0.0	1.21	1723288.0	4.48	70791.0	0.18	0.0	0.69	0.11	0	264681	42196
NS.1223.004.NEBNext_dual_i7_G6---NEBNext_dual_i5_G6.01_15_ACC	23219859.0	200.0	21827748.0	94.0	199.82	13060119.0	12948505.0	12934287.0	106790.0	12842.0	6200.0	0.15	0.01	1.49	0.0	1.21	1135820.0	4.89	47724.0	0.21	0.0	0.79	0.11	0	183075	25492
NS.1223.004.NEBNext_dual_i7_G7---NEBNext_dual_i5_G7.25_31_vHIP	31390941.0	200.0	29482247.0	93.92	199.83	18557179.0	18414598.0	18375651.0	153952.0	18861.0	8715.0	0.15	0.01	1.48	0.0	1.21	1588878.0	5.06	62569.0	0.2	0.0	0.74	0.08	0	232150	25097
NS.1223.004.NEBNext_dual_i7_G8---NEBNext_dual_i5_G8.11_09_dHIP	27718550.0	200.0	26067984.0	94.05	199.81	15702420.0	15577682.0	15555646.0	123410.0	15724.0	7640.0	0.15	0.01	1.48	0.0	1.2	1371611.0	4.95	48134.0	0.17	0.0	0.72	0.11	0	200230	30591
NS.1223.004.NEBNext_dual_i7_G9---NEBNext_dual_i5_G9.03_32_ACC	27084257.0	200.0	25338999.0	93.56	199.75	15215984.0	15090144.0	15070353.0	124249.0	14785.0	6597.0	0.16	0.01	1.48	0.0	1.22	1449297.0	5.35	55120.0	0.2	0.0	0.78	0.11	0	211074	29767
NS.1223.004.NEBNext_dual_i7_H1---NEBNext_dual_i5_H1.17_32_ACC	46604881.0	200.0	43803092.0	93.99	199.8	26730018.0	26513057.0	26470854.0	219917.0	26876.0	12371.0	0.15	0.01	1.49	0.0	1.21	2302899.0	4.94	95198.0	0.2	0.0	0.76	0.1	0	356751	46941
NS.1223.004.NEBNext_dual_i7_H2---NEBNext_dual_i5_H2.08_09_vHIP	39480577.0	200.0	37118069.0	94.02	199.84	22731645.0	22554705.0	22513155.0	184084.0	23260.0	11146.0	0.16	0.01	1.48	0.0	1.21	1962679.0	4.97	69416.0	0.18	0.0	0.74	0.09	0	294585	35828
NS.1223.004.NEBNext_dual_i7_H3---NEBNext_dual_i5_H3.10_35_dHIP	39651721.0	200.0	37452970.0	94.45	199.78	22588060.0	22403352.0	22369578.0	184491.0	23001.0	10990.0	0.16	0.01	1.48	0.0	1.2	1811917.0	4.57	72142.0	0.18	0.0	0.69	0.1	0	274858	39834
NS.1223.004.NEBNext_dual_i7_H4---NEBNext_dual_i5_H4.08_31_ACC	31183505.0	200.0	29178443.0	93.57	199.88	17465949.0	17321044.0	17298960.0	141774.0	17378.0	7837.0	0.16	0.01	1.51	0.0	1.21	1681570.0	5.39	61296.0	0.2	0.0	0.74	0.1	0	230982	31214
NS.1223.004.NEBNext_dual_i7_H5---NEBNext_dual_i5_H5.13_09_vHIP	32043094.0	200.0	30023569.0	93.7	199.62	17592027.0	17446756.0	17421922.0	143393.0	18137.0	8575.0	0.15	0.01	1.5	0.0	1.21	1684938.0	5.26	62620.0	0.2	0.0	0.74	0.11	0	236771	35196
NS.1223.004.NEBNext_dual_i7_H6---NEBNext_dual_i5_H6.01_15_dHIP	27973411.0	200.0	26328152.0	94.12	199.81	15887617.0	15757569.0	15735860.0	128058.0	15771.0	7928.0	0.17	0.01	1.52	0.0	1.22	1326607.0	4.74	51012.0	0.18	0.0	0.84	0.11	0	236650	30990
NS.1223.004.NEBNext_dual_i7_H7---NEBNext_dual_i5_H7.05_13_ACC	34282532.0	200.0	32179197.0	93.86	199.77	19830967.0	19666525.0	19638951.0	162849.0	19710.0	9457.0	0.16	0.01	1.49	0.0	1.21	1726377.0	5.04	72865.0	0.21	0.0	0.79	0.1	0	269925	34168
NS.1223.004.NEBNext_dual_i7_H8---NEBNext_dual_i5_H8.11_09_vHIP	47646310.0	200.0	44764137.0	93.95	199.81	26784304.0	26565114.0	26523718.0	221219.0	27218.0	12149.0	0.18	0.01	1.48	0.0	1.2	2358074.0	4.95	82906.0	0.17	0.0	0.82	0.1	0	393237	47956
NS.1223.004.NEBNext_dual_i7_H9---NEBNext_dual_i5_H9.03_32_dHIP	35610640.0	200.0	33519137.0	94.13	199.88	19993139.0	19832322.0	19800057.0	162717.0	20654.0	9711.0	0.18	0.01	1.49	0.0	1.21	1686190.0	4.74	60585.0	0.17	0.0	0.87	0.1	0	309189	35539
STAR_rrna_results	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0
