Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
NS.1223.004.NEBNext_dual_i7_E4---NEBNext_dual_i5_E4.04_09_ACC						0.201017	93.52	33167186.0	
NS.1223.004.NEBNext_dual_i7_E4---NEBNext_dual_i5_E4.04_09_ACC_R1	53.75198826556882	51.0	101.0	18.181818181818183	35465276.0				
NS.1223.004.NEBNext_dual_i7_E4---NEBNext_dual_i5_E4.04_09_ACC_R2	56.61993372169165	52.0	101.0	9.090909090909092	35465276.0				0.5162346810876237
NS.1223.004.NEBNext_dual_i7_E5---NEBNext_dual_i5_E5.19_26_vHIP						0.20275	93.23	32914029.0	
NS.1223.004.NEBNext_dual_i7_E5---NEBNext_dual_i5_E5.19_26_vHIP_R1	54.73957220961243	51.0	101.0	18.181818181818183	35304070.0				
NS.1223.004.NEBNext_dual_i7_E5---NEBNext_dual_i5_E5.19_26_vHIP_R2	57.53068781795212	51.0	101.0	9.090909090909092	35304070.0				0.5557418593649541
NS.1223.004.NEBNext_dual_i7_E6---NEBNext_dual_i5_E6.21_38_dHIP						0.175417	93.76	27658960.0	
NS.1223.004.NEBNext_dual_i7_E6---NEBNext_dual_i5_E6.21_38_dHIP_R1	50.86383269319696	51.0	101.0	18.181818181818183	29499590.0				
NS.1223.004.NEBNext_dual_i7_E6---NEBNext_dual_i5_E6.21_38_dHIP_R2	52.28552576438803	52.0	101.0	9.090909090909092	29499590.0				0.49684860698131067
NS.1223.004.NEBNext_dual_i7_E7---NEBNext_dual_i5_E7.25_31_ACC						0.167301	93.91	24228370.0	
NS.1223.004.NEBNext_dual_i7_E7---NEBNext_dual_i5_E7.25_31_ACC_R1	49.18690196402857	51.0	101.0	9.090909090909092	25798669.0				
NS.1223.004.NEBNext_dual_i7_E7---NEBNext_dual_i5_E7.25_31_ACC_R2	52.2954569853071	51.0	101.0	9.090909090909092	25798669.0				0.4586082781370167
NS.1223.004.NEBNext_dual_i7_E8---NEBNext_dual_i5_E8.06_38_vHIP						0.201825	93.75	38580532.0	
NS.1223.004.NEBNext_dual_i7_E8---NEBNext_dual_i5_E8.06_38_vHIP_R1	55.50335665721714	51.0	101.0	18.181818181818183	41150964.0				
NS.1223.004.NEBNext_dual_i7_E8---NEBNext_dual_i5_E8.06_38_vHIP_R2	58.57097277338609	52.0	101.0	9.090909090909092	41150964.0				0.4934142076727462
NS.1223.004.NEBNext_dual_i7_E9---NEBNext_dual_i5_E9.03_15_dHIP						0.16441	93.63	27632854.0	
NS.1223.004.NEBNext_dual_i7_E9---NEBNext_dual_i5_E9.03_15_dHIP_R1	48.442737594164484	51.0	101.0	9.090909090909092	29513634.0				
NS.1223.004.NEBNext_dual_i7_E9---NEBNext_dual_i5_E9.03_15_dHIP_R2	51.043351649419535	51.0	101.0	9.090909090909092	29513634.0				0.5941714736294621
NS.1223.004.NEBNext_dual_i7_F1---NEBNext_dual_i5_F1.27_32_dHIP						0.181628	93.95	26110989.0	
NS.1223.004.NEBNext_dual_i7_F1---NEBNext_dual_i5_F1.27_32_dHIP_R1	49.49347366104501	51.0	101.0	9.090909090909092	27791255.0				
NS.1223.004.NEBNext_dual_i7_F1---NEBNext_dual_i5_F1.27_32_dHIP_R2	52.51943816963236	51.0	101.0	9.090909090909092	27791255.0				0.4763818868579165
NS.1223.004.NEBNext_dual_i7_F2---NEBNext_dual_i5_F2.08_09_ACC						0.184609	93.32	32995670.0	
NS.1223.004.NEBNext_dual_i7_F2---NEBNext_dual_i5_F2.08_09_ACC_R1	52.37578001403365	50.0	101.0	18.181818181818183	35359355.0				
NS.1223.004.NEBNext_dual_i7_F2---NEBNext_dual_i5_F2.08_09_ACC_R2	54.99525849091263	51.0	101.0	9.090909090909092	35359355.0				0.5261959110906288
NS.1223.004.NEBNext_dual_i7_F3---NEBNext_dual_i5_F3.14_35_vHIP						0.171701	93.47	23658636.0	
NS.1223.004.NEBNext_dual_i7_F3---NEBNext_dual_i5_F3.14_35_vHIP_R1	50.206114178526256	51.0	101.0	18.181818181818183	25310499.0				
NS.1223.004.NEBNext_dual_i7_F3---NEBNext_dual_i5_F3.14_35_vHIP_R2	52.6136790656217	51.0	101.0	9.090909090909092	25310499.0				0.5115211260945527
NS.1223.004.NEBNext_dual_i7_F4---NEBNext_dual_i5_F4.04_09_dHIP						0.154365	93.55	20124580.0	
NS.1223.004.NEBNext_dual_i7_F4---NEBNext_dual_i5_F4.04_09_dHIP_R1	46.34026425285222	51.0	101.0	9.090909090909092	21511997.0				
NS.1223.004.NEBNext_dual_i7_F4---NEBNext_dual_i5_F4.04_09_dHIP_R2	48.680317634071265	51.0	101.0	0.0	21511997.0				0.4918586536242135
NS.1223.004.NEBNext_dual_i7_F5---NEBNext_dual_i5_F5.13_09_ACC						0.18907	93.16	31885347.0	
NS.1223.004.NEBNext_dual_i7_F5---NEBNext_dual_i5_F5.13_09_ACC_R1	51.326194005204215	50.0	101.0	18.181818181818183	34227607.0				
NS.1223.004.NEBNext_dual_i7_F5---NEBNext_dual_i5_F5.13_09_ACC_R2	53.86782727678222	51.0	101.0	9.090909090909092	34227607.0				0.592806025941817
NS.1223.004.NEBNext_dual_i7_F6---NEBNext_dual_i5_F6.21_38_vHIP						0.205588	93.5	31918935.0	
NS.1223.004.NEBNext_dual_i7_F6---NEBNext_dual_i5_F6.21_38_vHIP_R1	53.01914474790412	52.0	101.0	18.181818181818183	34136366.0				
NS.1223.004.NEBNext_dual_i7_F6---NEBNext_dual_i5_F6.21_38_vHIP_R2	55.2322930853304	52.0	101.0	9.090909090909092	34136366.0				0.5649421145788983
NS.1223.004.NEBNext_dual_i7_F7---NEBNext_dual_i5_F7.25_31_dHIP						0.191137	93.8	33222650.0	
NS.1223.004.NEBNext_dual_i7_F7---NEBNext_dual_i5_F7.25_31_dHIP_R1	52.934016131974275	51.0	101.0	18.181818181818183	35419440.0				
NS.1223.004.NEBNext_dual_i7_F7---NEBNext_dual_i5_F7.25_31_dHIP_R2	56.32820343864897	51.0	101.0	9.090909090909092	35419440.0				0.5006598518824243
NS.1223.004.NEBNext_dual_i7_F8---NEBNext_dual_i5_F8.11_09_ACC						0.174981	93.14	24248270.0	
NS.1223.004.NEBNext_dual_i7_F8---NEBNext_dual_i5_F8.11_09_ACC_R1	49.65224150581544	51.0	101.0	9.090909090909092	26035217.0				
NS.1223.004.NEBNext_dual_i7_F8---NEBNext_dual_i5_F8.11_09_ACC_R2	52.41695756498254	51.0	101.0	9.090909090909092	26035217.0				0.4845941123243616
NS.1223.004.NEBNext_dual_i7_F9---NEBNext_dual_i5_F9.03_15_vHIP						0.245715	93.76	64907013.0	
NS.1223.004.NEBNext_dual_i7_F9---NEBNext_dual_i5_F9.03_15_vHIP_R1	61.2689063588712	51.0	101.0	18.181818181818183	69226984.0				
NS.1223.004.NEBNext_dual_i7_F9---NEBNext_dual_i5_F9.03_15_vHIP_R2	64.15659925155786	52.0	101.0	9.090909090909092	69226984.0				0.5077856463005984
NS.1223.004.NEBNext_dual_i7_G1---NEBNext_dual_i5_G1.27_32_vHIP						0.183486	93.57	27447427.0	
NS.1223.004.NEBNext_dual_i7_G1---NEBNext_dual_i5_G1.27_32_vHIP_R1	52.386933982567314	51.0	101.0	18.181818181818183	29335110.0				
